codigo_distrito,cod_ibge,distrito,regioes,codigo_subprefeitura,subprefeituras,localizacao_busca,location,geometry
80001,1,Água Rasa,Leste,25.0,Mooca,"Água Rasa, São Paulo, SP, Brasil","Água Rasa, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5736972 -23.5653715)
80002,2,Alto de Pinheiros,Oeste,11.0,Pinheiros,"Alto de Pinheiros, São Paulo, SP, Brasil","Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7076422 -23.5499064)
80003,3,Anhanguera,Norte,1.0,Perus,"Anhanguera, São Paulo, SP, Brasil","Anhanguera, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.788534 -23.4329085)
80004,4,Aricanduva,Leste,26.0,Aricanduva/Formosa/Carrão,"Aricanduva, São Paulo, SP, Brasil","Aricanduva, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.511454 -23.5780239)
80005,5,Artur Alvim,Leste,21.0,Penha,"Artur Alvim, São Paulo, SP, Brasil","Artur Alvim, Ciclovia Radial Leste (Caminho Verde), Vila Aricanduva, Artur Alvim, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03656-120, Brasil",POINT (-46.4847063 -23.5402438)
80006,6,Barra Funda,Oeste,8.0,Lapa,"Barra Funda, São Paulo, SP, Brasil","Palmeiras - Barra Funda, Rua Jornalista Aloysio Biondi, Barra Funda, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 01140-070, Brasil",POINT (-46.6675134 -23.5254616)
80007,7,Bela Vista,Centro,9.0,Sé,"Bela Vista, São Paulo, SP, Brasil","Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6500338 -23.5601219)
80008,8,Belém,Leste,25.0,Mooca,"Belém, São Paulo, SP, Brasil","Belém, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5949387 -23.5348833)
80009,9,Bom Retiro,Centro,9.0,Sé,"Bom Retiro, São Paulo, SP, Brasil","Bom Retiro, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6381644 -23.5251634)
80010,10,Brás,Leste,25.0,Mooca,"Brás, São Paulo, SP, Brasil","Brás, Rua Doutor Almeida Lima, Brás, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03046-010, Brasil",POINT (-46.6163355 -23.5451136)
